Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1625       |
|    time_elapsed         | 22053      |
|    total_timesteps      | 3328000    |
| train/                  |            |
|    approx_kl            | 0.11925019 |
|    clip_fraction        | 0.584      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.41       |
|    explained_variance   | 0.812      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.897      |
|    n_updates            | 16240      |
|    policy_gradient_loss | -0.0276    |
|    std                  | 0.201      |
|    value_loss           | 2.14       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1626       |
|    time_elapsed         | 22062      |
|    total_timesteps      | 3330048    |
| train/                  |            |
|    approx_kl            | 0.09481946 |
|    clip_fraction        | 0.573      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.4        |
|    explained_variance   | 0.792      |
|    learning_rate        | 0.0003     |
|    loss                 | 4.28       |
|    n_updates            | 16250      |
|    policy_gradient_loss | -0.0132    |
|    std                  | 0.201      |
|    value_loss           | 4.53       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 108        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1627       |
|    time_elapsed         | 22071      |
|    total_timesteps      | 3332096    |
| train/                  |            |
|    approx_kl            | 0.13773179 |
|    clip_fraction        | 0.61       |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.39       |
|    explained_variance   | 0.886      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.418      |
|    n_updates            | 16260      |
|    policy_gradient_loss | -0.0214    |
|    std                  | 0.202      |
|    value_loss           | 1.88       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 108        |
| time/                   |            |
|    fps                  | 151        |
|    iterations           | 1628       |
|    time_elapsed         | 22080      |
|    total_timesteps      | 3334144    |
| train/                  |            |
|    approx_kl            | 0.14507416 |
|    clip_fraction        | 0.582      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.35       |
|    explained_variance   | 0.905      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.286      |
|    n_updates            | 16270      |
|    policy_gradient_loss | -0.0238    |
|    std                  | 0.203      |
|    value_loss           | 1.59       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 151        |
|    iterations           | 1629       |
|    time_elapsed         | 22089      |
|    total_timesteps      | 3336192    |
| train/                  |            |
|    approx_kl            | 0.15172839 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.34       |
|    explained_variance   | 0.883      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.37       |
|    n_updates            | 16280      |
|    policy_gradient_loss | -0.0403    |
|    std                  | 0.202      |
|    value_loss           | 1.26       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 108        |
| time/                   |            |
